事件,參數,參數值,參數值說明,頁面,觸發時機,Android埋設,Android進版號,iOS埋設,iOS進版號,
,,u2i_recommend,更多寶貝喜愛的,,,,,,,
,,kid_recommend,小孩喜好推薦,,,,,,,
,,quests,特別活動列表,,,,,,,
,position_title,{position_type}_{版位自訂標題},各區塊的標題,,,,,,,
,position_id,605,專輯id/banner id/更多,,,,,,,
,position_name,晚安故事摩天輪 12,專輯/banner名稱/更多,,,,,,,
,index,1,曝光排序位置（1~N),,,,,,,
,referral,u2i,推薦邏輯的名稱,,,,,,,
notifications_center_click,無參數,,,,點選首頁的通知中心小鈴鐺,true,,true,4.16.0,
notifications_type_click,type_name,系統通知,通知類別名稱,通知中心,點擊通知中心類別,true,,true,4.16.0,
,type_id,123,通知類別id,,,true,,true,4.16.0,
notifications_click,type_name,系統通知,通知類別名稱,通知類別,點擊通知標題閱讀內文,true,,true,4.16.0,
,type_id,123,通知類別id,,,true,,true,4.16.0,
,id,123,通知id,,,false,,true,,
,name,通知標題......,通知標題,,,,,,,
notifications_newest_click,id,123,通知id,通知中心,點擊最新通知,false,,true,4.22.2,
,name,通知標題......,通知標題,,,false,,true,,
notifications_all_read,type_name,系統通知,通知類別名稱,通知類別,點擊全部已讀按鈕,true,,true,4.16.0,
,type_id,123,通知類別id,,,true,,true,4.16.0,
notifications_link_click,type_name,系統通知,通知類別名稱,通知內文,點擊通知內文的「前往」連結,true,4.19.0,true,4.19.3,
,type_id,123,通知類別id,,,,4.19.0,,4.19.3,
,id,123,通知id,,,,4.19.0,,4.19.3,
,name,通知標題......,通知標題,,,,4.19.0,,4.19.3,
notifications_cell_click,id,123,,,,false,,true,4.25.0,
,name,通知標題,,,,,,,,
,target_type,專輯,,,,,,,,
,,策展清單,,,,,,,,
,,策展專輯,,,,,,,,
,,互動故事,,,,,,,,
,target_name,小行星,目標的名稱,,,,,,,
,target_id,123,目標的ID,,,,,,,
notification_setting,modified,true,false,true:開啟推播
fales:關閉推播,,開啟APP時觸發,true,5.3.0,true,5.3.0,
,firebase_app_id,,firebase原生的參數，不需特別埋設，透過bigquery撈取，可區別出開啟推播的裝置,,,,,,,
onboarding_welcome,position_name,skip,Skip鍵,onboarding_B組登入頁,點擊skip,, Android 沒有此功能,true,4.17.0,
onboarding_family,onboarding_family,新增小孩,新增小孩,onboarding_家庭資料頁,在家庭頁點擊新增小孩,true,,true,4.17.0,
,,我不是家長,我不是家長,onboarding_家庭資料頁,在家庭頁點擊我不是家長,true,,true,4.17.0,
,,新增完畢，下一步,完成建立小孩資料,onboarding_家庭資料頁,在家庭頁完成家庭資料，點擊下一步,true,,true,4.17.0,
view_quset_campaign,name,怪傑佐羅力闖關任務,主任務名稱,任務頁(quest_campaign),顯示任務頁(quest_campaign)時觸發,true,4.26.0,true,4.26.0,
,id,1,主任務id,,,,,,,
,referral,banner,從banner進入,,,,,,,
,,首頁,從首頁進入（5.0.0新增）,,,,,,,
,,deeplink,從外部透過branchio的deeplink進入,,,,,,,
,,notifications,從通知中心進入,,,,,,,
,,app_notification,從推播進入,,,,,,,
,,quests,從特別活動列表進入,,,true,4.26.0,true,4.26.0,
quest_button_click,name,怪傑佐羅力闖關任務,主任務名稱,任務頁(quest_campaign),點選任務頁簽到以外的按鍵時送出，來源可能是event button或redirection,true,4.26.0,true,4.26.0,
,id,1,主任務id,,,,,,,
,type_name,redirection / questCheckin / questComplete,progress -> redirection
eventbutton -> $type,,,,,,,
,position_name,參加抽獎成功
查看詳細說明,按鍵狀態名稱，從button_title或title取得,,,,,,,
view_quset_shadow,name,OooPEN圖書館,主任務名稱(頁面title),剪影遊戲頁,顯示剪影遊戲頁(quest_shadow)時送出事件,true,5.1.0,true,5.1.0,
,id,1,主任務id,,,true,5.1.0,true,5.1.0,
